,drugName,condition,rating,usefulCount,eff_score,usefulness
126,Lo Loestrin Fe,Birth Control,10,10,1,100
127,Ethinyl estradiol / norgestimate,Birth Control,5,2,0,0
128,Yasmin,Acne,10,21,1,210
129,Bupropion,ADHD,10,224,1,2240
130,Zoloft,Depression,2,14,0,0
131,Nucynta ER,Diabetic Peripheral Neuropathy,1,14,0,0
132,Prozac,Major Depressive Disorde,1,24,0,0
133,BuSpar,Anxiety,3,21,0,0
134,Kariva,Birth Control,6,4,1,24
135,Escitalopram,Depression,10,63,1,630
136,Microgestin Fe 1 / 20,12</span> users found this comment helpful.,9,12,1,108
137,Liraglutide,"Diabetes, Type 2",9,26,1,234
138,Sutent,Renal Cell Carcinoma,9,80,1,720
139,Ethinyl estradiol / norethindrone,Birth Control,8,6,1,48
140,Tramadol,Pain,1,18,0,0
141,Tylenol with Codeine #3,Pain,1,2,0,0
142,BuSpar,Panic Disorde,10,84,1,840
143,Magnesium citrate,Constipation,10,16,1,160
144,Tioconazole,Vaginal Yeast Infection,10,22,1,220
145,Depo-Provera,Birth Control,6,2,1,12
147,Safyral,Birth Control,5,2,0,0
148,Levonorgestrel,Emergency Contraception,10,2,1,20
149,Effexor XR,Depression,10,28,1,280
150,Desyrel,Insomnia,6,26,1,156
151,Glyburide,"Diabetes, Type 2",9,11,1,99
152,Escitalopram,Generalized Anxiety Disorde,10,6,1,60
153,Aldesleukin,Renal Cell Carcinoma,10,13,1,130
154,Zoloft,Social Anxiety Disorde,8,47,1,376
155,Desvenlafaxine,Depression,3,7,0,0
157,Drospirenone / ethinyl estradiol,Birth Control,4,7,0,0
158,Phentermine / topiramate,Obesity,10,48,1,480
159,Pristiq,Major Depressive Disorde,3,11,0,0
160,Lurasidone,Bipolar Disorde,5,0,0,0
161,Miconazole,Vaginal Yeast Infection,3,3,0,0
162,Acamprosate,Alcohol Dependence,10,62,1,620
163,Spironolactone,Acne,10,82,1,820
164,Doxylamine / pyridoxine,Nausea/Vomiting of Pregnancy,3,6,0,0
165,Demerol,Pain,10,32,1,320
166,Vyvanse,Binge Eating Disorde,8,18,1,144
167,Depo-Provera,Birth Control,10,3,1,30
168,Sovaldi,Hepatitis C,9,9,1,81
169,Sertraline,Depression,3,12,0,0
170,Motrin IB,Back Pain,9,20,1,180
171,Valacyclovir,Cold Sores,9,7,1,63
172,Buprenorphine / naloxone,Opiate Dependence,10,16,1,160
173,Metoprolol,Heart Attack,5,14,0,0
174,Pristiq,Depression,7,81,1,567
175,Montelukast,Asthma,9,7,1,63
176,Dextromethorphan,Cough,2,10,0,0
177,Levitra,Erectile Dysfunction,4,2,0,0
178,Restoril,Insomnia,1,23,0,0
179,Azathioprine,Autoimmune Hepatitis,10,10,1,100
180,Adapalene / benzoyl peroxide,Acne,2,1,0,0
181,Linzess,"Constipation, Chronic",10,25,1,250
182,Levetiracetam,Seizures,9,28,1,252
183,Ziana,Acne,10,30,1,300
184,Suboxone,Opiate Dependence,5,19,0,0
185,Nexplanon,Birth Control,9,2,1,18
186,Tinidazole,Bacterial Vaginitis,5,12,0,0
187,Diazepam,Not Listed / Othe,10,9,1,90
188,Spironolactone,Acne,9,7,1,63
189,Quetiapine,Bipolar Disorde,9,23,1,207
190,Acetaminophen / butalbital / caffeine,Headache,10,30,1,300
191,Ethinyl estradiol / norethindrone,Birth Control,5,2,0,0
192,Estradiol,Postmenopausal Symptoms,10,11,1,110
193,Gabapentin,ibromyalgia,9,43,1,387
194,ParaGard,Birth Control,10,7,1,70
195,Propofol,Anesthesia,10,9,1,90
196,Depo-Provera,Birth Control,9,1,1,9
197,Propranolol,mance Anxiety,10,59,1,590
198,Adapalene / benzoyl peroxide,Acne,9,27,1,243
199,Yaz,Menstrual Disorders,8,8,1,64
200,Levofloxacin,Pneumonia,1,4,0,0
201,Vilazodone,Depression,10,25,1,250
202,Accutane,Acne,10,28,1,280
203,Bupropion,Depression,10,41,1,410
204,Nalbuphine,Pain,7,1,1,7
205,Lexapro,Depression,10,13,1,130
206,Quetiapine,Generalized Anxiety Disorde,9,25,1,225
207,MiraLax,"Constipation, Acute",10,142,1,1420
208,Clonazepam,Anxiety,10,31,1,310
209,Phenobarbital,Seizures,9,5,1,45
210,Levonorgestrel,Birth Control,9,3,1,27
211,Tri-Sprintec,0</span> users found this comment helpful.,5,0,0,0
212,Metronidazole,Rosacea,9,110,1,990
213,Tramadol,Chronic Pain,9,20,1,180
214,Metoprolol,Benign Essential Trem,9,4,1,36
215,Imiquimod,Human Papilloma Virus,8,12,1,96
216,Caffeine,Hypersomnia,8,28,1,224
217,Levonorgestrel,Birth Control,10,7,1,70
218,Etonogestrel,Birth Control,8,29,1,232
219,Lisinopril,Diabetic Kidney Disease,1,3,0,0
220,Benzonatate,Cough,10,21,1,210
221,Diazepam,Meniere's Disease,10,52,1,520
222,Ayr Saline Nasal,Nasal Congestion,4,1,0,0
223,Venlafaxine,Depression,1,24,0,0
224,Clarithromycin,Pneumonia,9,20,1,180
225,Enbrel,Psoriatic Arthritis,8,11,1,88
226,Ethinyl estradiol / norethindrone,Birth Control,3,0,0,0
227,Polyethylene glycol 3350 with electrolytes,Bowel Preparation,10,42,1,420
229,Gabapentin,Pain,9,37,1,333
230,Microgestin Fe 1 / 20,Birth Control,2,3,0,0
231,Restasis,Keratoconjunctivitis Sicca,1,31,0,0
232,Belviq,Weight Loss,7,25,1,175
233,Tioconazole,Vaginal Yeast Infection,1,5,0,0
234,Symbyax,Bipolar Disorde,7,17,1,119
235,Zoloft,Depression,1,44,0,0
236,Zoloft,Obsessive Compulsive Disorde,9,90,1,810
237,Vilazodone,Major Depressive Disorde,3,15,0,0
238,Tretinoin,Acne,8,68,1,544
239,Gleevec,Chronic Myelogenous Leukemia,10,5,1,50
240,Desvenlafaxine,Depression,7,175,1,1225
241,Nexplanon,Birth Control,9,0,1,0
242,Ropinirole,Restless Legs Syndrome,10,4,1,40
243,Aviane,Birth Control,3,4,0,0
244,Depo-Provera,Endometriosis,7,40,1,280
245,Gabapentin,Anxiety,8,66,1,528
246,Ethinyl estradiol / levonorgestrel,Birth Control,8,8,1,64
247,Ethinyl estradiol / etonogestrel,Birth Control,9,3,1,27
248,Clomiphene,emale Infertility,10,171,1,1710
249,Clotrimazole,Oral Thrush,2,8,0,0
250,Topiramate,Migraine Prevention,6,9,1,54
251,Etonogestrel,Birth Control,1,9,0,0
252,Ambien,Insomnia,10,14,1,140
253,Vyvanse,ADHD,8,36,1,288
254,Fluorouracil,Actinic Keratosis,10,10,1,100
255,Genvoya,HIV Infection,10,3,1,30
256,Tramadol,Pain,9,73,1,657
257,Tessalon Perles,Cough,9,63,1,567
258,Asenapine,Bipolar Disorde,10,11,1,110
259,Gabapentin,Anxiety,1,40,0,0
260,Adipex-P,Weight Loss,8,37,1,296
261,Ethinyl estradiol / levonorgestrel,Birth Control,10,5,1,50
263,Prenatal Plus,Vitamin/Mineral Supplementation during Pregnancy/Lactation,10,19,1,190
264,Keflex,Bacterial Infection,9,58,1,522
265,Vitamin D2,Vitamin D Deficiency,10,150,1,1500
266,Flexeril,Sciatica,9,101,1,909
267,Viibryd,Depression,10,70,1,700
268,Lysteda,Menstrual Disorders,10,117,1,1170
269,Topiramate,Migraine Prevention,4,14,0,0
270,Omnicef,Otitis Media,1,11,0,0
271,Augmentin,Skin or Soft Tissue Infection,2,1,0,0
272,Pentasa,Crohn's Disease,10,6,1,60
273,Zofran,Nausea/Vomiting,7,15,1,105
274,Kapidex,GERD,1,21,0,0
275,Serzone,Depression,10,59,1,590
276,Ethinyl estradiol / norgestimate,Birth Control,9,10,1,90
277,Zoloft,Depression,4,16,0,0
278,Hyoscyamine / methenamine / methylene blue / phenyl salicylate,Urinary Tract Infection,2,0,0,0
279,Diphenhydramine,Insomnia,3,14,0,0
280,Minocycline,Rheumatoid Arthritis,4,2,0,0
281,Monistat 3-Day Combination Pack,Vaginal Yeast Infection,2,5,0,0
282,Pitocin,Labor Induction,10,16,1,160
283,Levonorgestrel,Birth Control,1,470,0,0
284,Pyridostigmine,Myasthenia Gravis,8,20,1,160
285,Naprosyn,Back Pain,9,30,1,270
286,Elocon,Psoriasis,8,38,1,304
287,Clindamycin,Skin or Soft Tissue Infection,8,8,1,64
288,Pazopanib,Soft Tissue Sarcoma,10,61,1,610
289,Skyla,Birth Control,1,2,0,0
290,Denosumab,Osteoporosis,1,157,0,0
291,Bisacodyl,Constipation,10,0,1,0
292,Paxil,Anxiety,10,58,1,580
293,Methotrexate,Psoriasis,9,86,1,774
294,Sprintec,Ovarian Cysts,3,12,0,0
295,Etonogestrel,Birth Control,1,3,0,0
296,Ciprofloxacin,Kidney Infections,10,26,1,260
297,Levonorgestrel,Birth Control,3,0,0,0
298,Adipex-P,Weight Loss,1,11,0,0
299,Liraglutide,Weight Loss,10,12,1,120
300,Buprenex,Pain,10,15,1,150
301,Apri,Birth Control,7,5,1,35
302,Implanon,Birth Control,10,2,1,20
303,Benzoyl peroxide / erythromycin,Acne,8,2,1,16
304,Metronidazole,Giardiasis,5,0,0,0
305,Qsymia,Weight Loss,10,69,1,690
306,Lexapro,Depression,8,20,1,160
307,Lyrica,ibromyalgia,9,68,1,612
308,Trintellix,Depression,9,48,1,432
309,Metronidazole,Diverticulitis,10,30,1,300
310,Klonopin,Anxiety,9,51,1,459
312,Oseltamivir,Influenza,10,5,1,50
313,Seasonique,Abnormal Uterine Bleeding,2,8,0,0
314,Niravam,Anxiety,10,38,1,380
315,Etonogestrel,Birth Control,10,4,1,40
316,Celexa,Anxiety and Stress,7,62,1,434
317,Codeine / guaifenesin,Cough,10,28,1,280
318,Bupropion,Depression,10,145,1,1450
319,Klonopin,Anxiety,10,84,1,840
320,Spironolactone,Acne,9,5,1,45
321,NuvaRing,Birth Control,1,9,0,0
322,Minocycline,Acne,10,15,1,150
323,Plan B One-Step,Emergency Contraception,10,24,1,240
324,Cefuroxime,Sinusitis,10,31,1,310
325,Ortho Evra,Birth Control,7,1,1,7
326,Fluoxetine,Panic Disorde,3,3,0,0
327,Xanax,Anxiety,9,32,1,288
328,Ondansetron,Gastroenteritis,10,66,1,660
329,Dulaglutide,"Diabetes, Type 2",1,12,0,0
330,Supartz,Osteoarthritis,3,20,0,0
331,Naproxen,Period Pain,7,9,1,63
332,Alesse,Birth Control,6,15,1,90
333,Tretinoin,Acne,10,16,1,160
334,Ambien,Insomnia,6,35,1,210
335,Orlistat,Obesity,9,35,1,315
336,Microgestin Fe 1.5 / 30,Birth Control,9,5,1,45
337,Yaz,Birth Control,3,10,0,0
338,Methylprednisolone,Inflammatory Conditions,7,22,1,154
339,Cymbalta,Osteoarthritis,3,8,0,0
340,Nexplanon,Birth Control,1,4,0,0
341,Aspirin / carisoprodol,Muscle Pain,7,0,1,0
342,Clarithromycin,Pneumonia,10,20,1,200
343,Canagliflozin,"Diabetes, Type 2",6,0,1,0
344,Nasonex,Allergic Rhinitis,9,4,1,36
345,Oxycodone,Pain,9,27,1,243
346,Vyvanse,ADHD,8,28,1,224
347,Junel Fe 1 / 20,Birth Control,1,6,0,0
348,Kombiglyze XR,6</span> users found this comment helpful.,10,6,1,60
349,Levofloxacin,Sinusitis,10,42,1,420
350,Pegfilgrastim,Neutropenia Associated with Chemotherapy,8,13,1,104
351,Phentermine,Weight Loss,10,50,1,500
352,Levonorgestrel,Emergency Contraception,10,13,1,130
353,Lisinopril,High Blood Pressure,10,13,1,130
354,Azelaic acid,Rosacea,2,6,0,0
355,Mirena,Birth Control,1,2,0,0
356,Suvorexant,Insomnia,1,16,0,0
357,Lysine,"Herpes Simplex, Suppression",8,6,1,48
358,Duloxetine,Pain,1,32,0,0
359,Nexium,GERD,6,22,1,132
360,Junel Fe 1 / 20,Menstrual Disorders,2,5,0,0
361,Citalopram,Anxiety and Stress,10,206,1,2060
362,Drysol,Hyperhidrosis,10,14,1,140
363,Miconazole,Vaginal Yeast Infection,1,4,0,0
364,Corticotropin,Multiple Sclerosis,1,3,0,0
365,Benzonatate,Cough,10,10,1,100
366,Mirtazapine,Depression,10,44,1,440
367,Lexapro,Generalized Anxiety Disorde,10,77,1,770
368,Seroquel,24</span> users found this comment helpful.,9,24,1,216
369,Nexplanon,Birth Control,9,5,1,45
370,Oxycodone,Pain,10,42,1,420
371,Meclizine,Vertig,9,46,1,414
372,Cefdinir,Sinusitis,10,0,1,0
373,Tri-Sprintec,Birth Control,10,2,1,20
374,Implanon,Birth Control,7,8,1,56
375,Citalopram,Depression,1,8,0,0
376,Methocarbamol,Muscle Spasm,1,4,0,0
377,Ambien,Insomnia,8,25,1,200
378,Azithromycin,Bronchitis,8,9,1,72
379,Tri-Sprintec,Birth Control,1,3,0,0
380,Sinemet,Restless Legs Syndrome,7,12,1,84
381,Fluorouracil,Actinic Keratosis,3,7,0,0
382,Esomeprazole,GERD,9,76,1,684
383,Prednisone,Asthma,1,18,0,0
384,Fentanyl,Pain,8,7,1,56
385,Pseudoephedrine,Nasal Congestion,8,4,1,32
386,Risperidone,Autism,9,44,1,396
387,Alpha 1-proteinase inhibitor,Alpha-1 Proteinase Inhibitor Deficiency,10,11,1,110
388,Phentermine / topiramate,Weight Loss,10,113,1,1130
389,Junel Fe 1.5 / 30,Birth Control,1,4,0,0
390,Mirena,Birth Control,9,12,1,108
391,Copper,Birth Control,1,6,0,0
392,Divalproex sodium,Bipolar Disorde,7,48,1,336
393,Lamotrigine,Bipolar Disorde,10,73,1,730
394,Pravastatin,High Cholesterol,5,283,0,0
395,Amitriptyline,Anxiety and Stress,4,62,0,0
396,Vardenafil,Erectile Dysfunction,7,17,1,119
397,Abilify,Bipolar Disorde,2,10,0,0
398,Amlodipine,High Blood Pressure,2,89,0,0
399,Clonazepam,Restless Legs Syndrome,10,28,1,280
400,Skyla,Birth Control,5,1,0,0
401,Carvedilol,High Blood Pressure,9,59,1,531
402,Xyzal,Urticaria,10,32,1,320
403,Budeprion SR,Depression,8,7,1,56
404,Amitriptyline,ibromyalgia,2,46,0,0
405,Desvenlafaxine,Depression,5,5,0,0
406,Rosuvastatin,High Cholesterol,8,90,1,720
407,Phentermine,Weight Loss,8,7,1,56
408,Victoza,Weight Loss,4,17,0,0
409,Gabapentin,Anxiety,10,199,1,1990
410,Mirena,Birth Control,10,8,1,80
411,Percocet,Pain,10,4,1,40
412,Contrave,Weight Loss,8,27,1,216
413,Trulicity,"Diabetes, Type 2",3,67,0,0
414,Ethinyl estradiol / levonorgestrel,Birth Control,2,1,0,0
415,Vyvanse,ADHD,10,182,1,1820
416,Junel Fe 1 / 20,Birth Control,10,9,1,90
417,Tranexamic acid,Menstrual Disorders,10,31,1,310
418,Contrave,Obesity,9,23,1,207
419,Nexplanon,Birth Control,1,2,0,0
420,Phentermine,Weight Loss,10,91,1,910
421,NuvaRing,Birth Control,1,0,0,0
422,Dextromethorphan,Cough,10,13,1,130
423,Junel Fe 1 / 20,Acne,6,16,1,96
424,Paxil CR,Panic Disorde,1,3,0,0
425,Adipex-P,Weight Loss,10,212,1,2120
426,ParaGard,Birth Control,9,6,1,54
427,OxyContin,Pain,10,134,1,1340
428,Miconazole,Vaginal Yeast Infection,3,11,0,0
429,Chlordiazepoxide,Anxiety,3,28,0,0
430,Olanzapine,Bipolar Disorde,9,36,1,324
431,Lo Loestrin Fe,Birth Control,1,5,0,0
432,Levonorgestrel,Emergency Contraception,5,3,0,0
433,Zoloft,Major Depressive Disorde,5,11,0,0
434,Doxycycline,Acne,7,11,1,77
435,Aviane,Birth Control,7,2,1,14
436,CellCept,Systemic Lupus Erythematosus,8,38,1,304
437,Lamotrigine,Bipolar Disorde,10,9,1,90
438,Phentermine,Weight Loss,5,1,0,0
439,Imodium A-D,Diarrhea,10,46,1,460
440,Oxycodone,Pain,9,5,1,45
441,Azathioprine,"Crohn's Disease, Acute",2,6,0,0
442,Topamax,Migraine Prevention,10,3,1,30
443,Etonogestrel,Birth Control,8,4,1,32
444,Doxycycline,Acne,4,19,0,0
445,Cobicistat / elvitegravir / emtricitabine / tenofovir alafenamide,HIV Infection,7,5,1,35
446,Plan B One-Step,Emergency Contraception,5,4,0,0
447,Etonogestrel,Birth Control,10,6,1,60
448,Chateal,Birth Control,1,1,0,0
449,Rizatriptan,Migraine,10,12,1,120
450,ParaGard,Birth Control,9,0,1,0
451,Strattera,Social Anxiety Disorde,8,15,1,120
452,Monistat 7-Day Combination Pack,Vaginal Yeast Infection,1,11,0,0
453,Spironolactone,Acne,10,36,1,360
454,Valacyclovir,"Herpes Simplex, Suppression",1,9,0,0
455,Tramadol,Depression,10,121,1,1210
456,Cyclobenzaprine,Muscle Spasm,10,34,1,340
457,Escitalopram,Anxiety,10,13,1,130
458,Ethinyl estradiol / norelgestromin,Birth Control,8,73,1,584
459,Sprintec,Birth Control,10,10,1,100
460,Uptravi,Pulmonary Hypertension,6,13,1,78
461,Eletriptan,Migraine,10,10,1,100
462,Prednisone,Rheumatoid Arthritis,5,8,0,0
463,Skyla,Birth Control,10,1,1,10
464,Isotretinoin,Acne,10,7,1,70
465,Lisinopril,High Blood Pressure,4,75,0,0
466,Nitrofurantoin,Bladder Infection,5,14,0,0
467,Wellbutrin,Depression,9,57,1,513
468,Rosula,Rosacea,10,12,1,120
469,Qsymia,Obesity,8,19,1,152
470,Methyldopa,High Blood Pressure,3,24,0,0
471,ParaGard,Birth Control,5,4,0,0
472,Fetzima,Depression,10,75,1,750
473,Linaclotide,"Constipation, Chronic",6,19,1,114
474,Levonorgestrel,Birth Control,8,9,1,72
475,Nitrofurantoin,Bladder Infection,8,5,1,40
476,Arimidex,Breast Cance,9,101,1,909
477,Bupropion,Depression,9,124,1,1116
478,Ondansetron,Nausea/Vomiting,9,69,1,621
479,Eszopiclone,Insomnia,10,30,1,300
480,Mononessa,Birth Control,4,6,0,0
481,Topiramate,Seizure Prevention,7,29,1,203
482,Implanon,Birth Control,9,0,1,0
483,Norethindrone,Abnormal Uterine Bleeding,3,32,0,0
484,Medroxyprogesterone,Abnormal Uterine Bleeding,1,4,0,0
485,Synvisc-One,Osteoarthritis,1,20,0,0
486,Xulane,Birth Control,9,6,1,54
487,Remeron,Major Depressive Disorde,8,49,1,392
488,Quetiapine,Borderline Personality Disorde,10,36,1,360
489,Viibryd,Depression,10,80,1,800
490,Pamelor,Migraine Prevention,6,57,1,342
491,Xanax,Depression,10,193,1,1930
492,Ethinyl estradiol / norethindrone,Birth Control,2,25,0,0
493,Etonogestrel,Birth Control,2,1,0,0
494,Orphenadrine,Muscle Spasm,7,32,1,224
495,Etanercept,Rheumatoid Arthritis,3,35,0,0
496,Bupropion / naltrexone,Weight Loss,9,30,1,270
497,Milnacipran,ibromyalgia,9,38,1,342
498,Klonopin,Bipolar Disorde,10,23,1,230
499,Chantix,Smoking Cessation,10,34,1,340
500,Acetaminophen / codeine,Osteoarthritis,10,5,1,50
501,Penicillin v potassium,Rat-bite Feve,9,5,1,45
502,Varenicline,Smoking Cessation,1,12,0,0
503,Bupropion / naltrexone,Obesity,10,13,1,130
504,Implanon,Birth Control,10,0,1,0
505,Bisacodyl,Constipation,5,5,0,0
506,Advair Diskus,"COPD, Maintenance",9,9,1,81
507,Cialis,Erectile Dysfunction,8,38,1,304
508,Ethinyl estradiol / norelgestromin,Birth Control,8,29,1,232
509,Tadalafil,Not Listed / Othe,10,0,1,0
510,Olanzapine,Bipolar Disorde,1,30,0,0
511,Tadalafil,Erectile Dysfunction,10,44,1,440
512,Klonopin,Seizure Prevention,10,15,1,150
513,Humira,Rheumatoid Arthritis,8,41,1,328
514,Alprazolam,Anxiety,10,61,1,610
515,Clonazepam,Anxiety,8,16,1,128
516,Minoxidil,Alopecia,9,18,1,162
517,Dulaglutide,"Diabetes, Type 2",10,18,1,180
518,Desogestrel / ethinyl estradiol,Birth Control,9,5,1,45
519,Suprep Bowel Prep Kit,Bowel Preparation,10,26,1,260
520,Levonorgestrel,Birth Control,9,48,1,432
521,Levonorgestrel,Emergency Contraception,8,33,1,264
522,Metformin,"Diabetes, Type 2",2,7,0,0
523,Phenazopyridine,Dysuria,9,15,1,135
524,Ethinyl estradiol / levonorgestrel,Birth Control,4,4,0,0
525,Duofilm,Warts,10,0,1,0
526,Levonorgestrel,Emergency Contraception,8,1,1,8
527,Duloxetine,Pain,1,126,0,0
528,Levonorgestrel,Birth Control,1,4,0,0
529,Clonazepam,Anxiety,2,3,0,0
530,Sprycel,Leukemia,1,0,0,0
531,Bisacodyl,Constipation,2,8,0,0
532,ella,Emergency Contraception,10,7,1,70
533,Rosuvastatin,High Cholesterol,4,62,0,0
534,Klonopin,Panic Disorde,9,67,1,603
535,Etonogestrel,Birth Control,10,11,1,110
536,Sronyx,Abnormal Uterine Bleeding,3,3,0,0
537,Paxil,Anxiety,8,25,1,200
538,Implanon,Birth Control,10,12,1,120
539,Viibryd,Depression,2,23,0,0
540,Ortho Tri-Cyclen Lo,Birth Control,10,1,1,10
541,Contrave,Weight Loss,9,12,1,108
542,Alcaftadine,"Conjunctivitis, Allergic",1,32,0,0
543,Sulfamethoxazole / trimethoprim,Urinary Tract Infection,2,5,0,0
544,Levothyroxine,Underactive Thyroid,8,48,1,384
